"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"58",58,"110251","To ask the Attorney General, if he will extend the range of offences for which an unduly lenient sentence may be referred to the Court of Appeal to include stalking, under section 4(1)(a) of the Protection from Harassment Act 1997, and coercive control, under section 76 of the Serious Crime Act 2015.","<p>The Government re-committed in our manifesto that we will extend the scope of the unduly lenient scheme. As a first step, an extension of the scheme to further terrorism offences came into effect in August.</p><p> </p><p>We are considering with the Lord Chancellor how further to fulfil our commitment to extending the scheme.</p>","Saville Roberts, Liz","Plaid Cymru","Dwyfor Meirionnydd","Buckland, Robert",2017-10-30,2017-11-10,33,"section, act, protection"
"59",59,"109528","To ask the Attorney General, whether the Law Officers' Departments were consulted by the Department for Exiting the European Union on the economic impact assessments conducted for the UK leaving the EU.","<p>The Government is carrying out an ongoing programme of comprehensive analytical work that will inform our negotiating position with the EU, to define our deep and special partnership with the EU and inform our understanding of how EU exit will affect the UK’s domestic policies and frameworks.</p><p>The Law Officers’ Departments are working with officials across government, in close coordination with the Department for Exiting the European Union, to ensure the delivery of a co-ordinated programme of analysis across government.</p>","Malhotra, Seema","Labour (Co-op)","Feltham and Heston","Buckland, Robert",2017-10-25,2017-11-01,26,"eu, uk, leave"
"60",60,"HL2407","To ask Her Majesty's Government what guidelines they have issued to Crown Prosecutors on the prosecution of persons for operating unregistered schools.","<p>The Crown Prosecution Service has issued legal guidance for Crown Prosecutors on prosecuting criminal offences relating to unregistered schools under sections 96 and 97 of the Education and Skills Act 2008. CPS guidance is publicly available via the CPS website and can be accessed at: www.cps.gov.uk/legal/d_to_g/education/</p><p> </p>","Lord Warner","Not found",NA,"Lord Keen of Elie",2017-10-23,2017-11-15,15,"female, genital, mutilation"
"61",61,"HL2408","To ask Her Majesty's Government how many successful prosecutions there have been for operating an unregistered school in each of the last five years.","<p>The offence of operating an unregistered independent educational establishment is created by section 96 of the Education and Skills Act 2008. There is a related offence under section 97 of that Act of intentionally obstructing a person carrying out an inspection where it is believed that an offence under section 96 is being committed.</p><p> </p><p>The Crown Prosecution Service has not prosecuted any cases involving either of these offences.</p><p> </p><p> </p>","Lord Warner","Not found",NA,"Lord Keen of Elie",2017-10-23,2017-11-06,15,"female, genital, mutilation"
"62",62,"109085","To ask the Attorney General, how many successful prosecutions relating to domestic violence offences which were initially reported to police in London were recorded in each of the last five years.","<p>The CPS maintains a central record of the number of defendants flagged as domestic abuse that were prosecuted and convicted through its Case Management System.</p><p>The CPS defines domestic abuse as any threatening behaviour, violence or abuse (psychological, physical, sexual, financial or emotional) between those who are or have been intimate partners or family members, regardless of gender or sexuality. Family members include mother, father, son, daughter, sister, and grandparents, whether directly related, in-laws or step family.</p><p>The table below shows the volume and proportion of domestic abuse prosecutions and convictions by CPS London in each of the last five financial years.</p><table><tbody><tr><td><p> </p></td><td colspan=""2""><p><strong>2012 - 13</strong></p></td><td colspan=""2""><p><strong>2013 - 14</strong></p></td><td colspan=""2""><p><strong>2014 - 15</strong></p></td><td colspan=""2""><p><strong>2015 - 16</strong></p></td><td colspan=""2""><p><strong>2016 - 17</strong></p></td></tr><tr><td><p>-</p></td><td><p><strong>Volume</strong></p></td><td><p><strong>%</strong></p></td><td><p><strong>Volume</strong></p></td><td><p><strong>%</strong></p></td><td><p><strong>Volume</strong></p></td><td><p><strong>%</strong></p></td><td><p><strong>Volume</strong></p></td><td><p><strong>%</strong></p></td><td><p><strong>Volume</strong></p></td><td><p><strong>%</strong></p></td></tr><tr><td><p>Convictions</p></td><td><p>5,424</p></td><td><p>61.7%</p></td><td><p>6,442</p></td><td><p>65.2%</p></td><td><p>7,871</p></td><td><p>66.3%</p></td><td><p>9,400</p></td><td><p>64.5%</p></td><td><p>9,377</p></td><td><p>65.6%</p></td></tr><tr><td><p>Unsuccessful</p></td><td><p>3,363</p></td><td><p>38.3%</p></td><td><p>3,433</p></td><td><p>34.8%</p></td><td><p>4,006</p></td><td><p>33.7%</p></td><td><p>5,179</p></td><td><p>35.5%</p></td><td><p>4,909</p></td><td><p>34.4%</p></td></tr><tr><td><p><strong>Total</strong></p></td><td><p><strong>8,787</strong></p></td><td><p><strong> </strong></p></td><td><p><strong>9,875</strong></p></td><td><p><strong> </strong></p></td><td><p><strong>11,877</strong></p></td><td><p><strong> </strong></p></td><td><p><strong>14,579</strong></p></td><td><p><strong> </strong></p></td><td><p><strong>14,286</strong></p></td><td><p> </p></td></tr><tr><td colspan=""5""><p>Data Source: CPS Case Management Information System</p></td></tr></tbody></table><p> </p>","Reeves, Ellie","Labour","Lewisham West and Penge","Buckland, Robert",2017-10-23,2017-10-30,36,"violence, domestic, rape"
"63",63,"HL2243","To ask Her Majesty's Government what assessment they have made of the impact on freedom of speech of the definitions used by the Crown Prosecution Service to identify racist or religious incidents and crimes and to monitor the decisions and outcomes, as detailed in their Racist and Religious Hate Crime Prosecution Guidance.","<p>The CPS legal guidance on prosecuting racist and religious hate crime recognises the potential impact of prosecutions on Article 10 of the European Convention on Human Rights (the right to freedom of expression). The guidance recognises that not only is speech which is well-received and popular protected, but also speech which is offensive, shocking or disturbing. It is essential in a free, democratic and tolerant society that people are able to exchange views, even when offence may be caused. However, when making prosecution decisions the CPS must balance the rights of an individual to freedom of speech and expression against the duty of the state to act proportionately in the interests of public safety, to prevent disorder and crime, and to protect the rights of others.</p><p>The Crown Prosecution Service (CPS) has agreed a shared definition of hate crime with the police in order to ensure that all relevant cases are captured as early possible. This definition is based upon the perception of the victim or any other person and is wider than the legal definition. However, in order for the CPS to bring a successful hate crime prosecution the CPS must present sufficient evidence to prove that the offence meets the definition of the crime set out in the relevant legislation.</p>","Lord Vinson","Not found",NA,"Lord Keen of Elie",2017-10-18,2017-11-01,13,"crime, hate, economic"
"64",64,"108331","To ask the Attorney General, what steps he is taking to ensure greater collaboration between the Crown Prosecution Service and the Welsh Government.","<ol><li><p>The Crown Prosecution Service (CPS) works actively and regularly alongside the Welsh Government on a range of issues of mutual interest, notwithstanding that responsibility for criminal justice is not devolved.</p><p> </p></li><li><p>Recent examples of cooperation between the CPS and the Welsh Government include the following:</p></li></ol><p> </p><ul><li><p>The CPS has contributed to the development of the Welsh Government’s National Strategy on Violence against Women, Domestic Abuse and Sexual Violence. The Welsh Government has committed to work with the CPS and other criminal justice agencies to improve the response to those who report domestic abuse and sexual violence. The CPS continues to work with the Welsh Government on the delivery of the strategy.</p><p> </p></li><li><p>The CPS contributed substantially to the establishment of the Hate Crime Criminal Justice Board Cymru and its first chair was the CPS Hate Crime Coordinator. The Board draws together the Welsh Police Forces, and other non-devolved bodies such as the CPS and Her Majesty’s Prison and Probation Service.</p></li></ul><p> </p><ul><li><p>CPS Cymru-Wales is represented strongly on the Welsh Government’s Wales Anti-Slavery Leadership Group which provides strategic leadership for the delivery of tackling slavery in Wales.</p><p> </p></li><li><p>The CPS is represented on the regional Welsh Government Mental Health and Criminal Justice Boards.</p><p> </p></li><li><p>The CPS has met with representatives of the Counsel General for Wales and has responded to the consultation on developing a Welsh Government Code for Prosecutors.</p><p> </p></li><li><p>The CPS has worked with the Welsh Government and the four Police Forces in Wales to develop a Memorandum of Understanding on Tackling Violence and Aggression Against NHS Wales Staff.</p><p> </p></li><li><p>CPS Cymru-Wales has appointed a senior manager to take lead responsibility for liaison with the Welsh Government to further strengthen relationships.</p></li></ul>","Saville Roberts, Liz","Plaid Cymru","Dwyfor Meirionnydd","Buckland, Robert",2017-10-17,2017-10-25,25,"crown, service, prosecute"
"65",65,"HL2091","To ask Her Majesty's Government what consideration they have given to the recommendation in paragraph 6.2.3. of Council of Europe Resolution 2190 (2017) regarding “not prioritising, systematically and exclusively, with regard to the members of Daesh, the application of national anti-terrorist legislation, to the detriment of their universal jurisdiction when examining cases involving the crimes described in the Rome Statute of the ICC”.","<p>Prosecutors decide which offences to pursue on a case-by-case basis and do not systematically and exclusively prefer some categories of offences over others. In all cases the Code for Crown Prosecutors requires prosecutors to select charges which: reflect the seriousness and extent of the offending supported by the evidence; give the court adequate powers to sentence and impose appropriate post-conviction orders; and enable the case to be presented in a clear and simple way.</p><p> </p>","Lord Alton of Liverpool","Not found",NA,"Lord Keen of Elie",2017-10-17,2017-10-27,37,"daesh, conflict, citizens"
"66",66,"107770","To ask the Attorney General, if he will consider overturning the decision to classify documents about the death of Dr David Kelly; and if he will make a statement.","<p>The circumstances surrounding the death of Dr David Kelly were considered extensively by my predecessor in 2011. The investigation that he commissioned reviewed all of the relevant documents and evidence. The then Attorney General’s conclusion at the end of that process was that a fresh inquest or inquiry into the death was not warranted. A written statement setting out the detailed reasons for the Attorney’s decision was placed in the House of Commons library in June 2011. That statement was accompanied by a good deal of additional material, including the independent reports that were commissioned.</p><p> </p><p>I am not persuaded there is any reason to re-visit the matter.</p>","Offord, Dr Matthew","Conservative","Hendon","Wright, Jeremy",2017-10-16,2017-10-31,38,"ireland, northern, dr"
"67",67,"107313","To ask the Attorney General, what steps he is taking under the (a) UK statutory and (b) international legal framework to improve rates of prosecution for British Citizens for participation in (i) acts of genocide and (b) war crimes committed abroad.","<p>On 21 September 2017, the United Nations Security Council voted unanimously to adopt UK-proposed Daesh Accountability Resolution 2379, which requests the UN Secretary General to establish an Investigative Team headed by a Special Adviser to collect, preserve and store evidence of Daesh crimes, beginning in Iraq.</p><p>The UK will work alongside the UN, Government of Iraq and other partners to implement Resolution 2379, ensuring that everything possible is done to hold Daesh to account for their crimes. This could potentially include the Team sharing evidence of crimes committed by British citizens in Iraq with UK authorities.</p><p>Within the CPS, all allegations of war crimes, crimes against humanity and genocide are dealt with by a team of specially trained prosecutors in the Counter Terrorism Division (CTD). CTD work closely with the war crimes team of the Metropolitan Police Counter Terrorism Command (SO15) under well established guidelines, details of which can be found here <a href=""http://www.cps.gov.uk/publications/agencies/war_crimes.html#b"" target=""_blank"">http://www.cps.gov.uk/publications/agencies/war_crimes.html#b</a></p><p>Each case investigated by the police which is referred to the CPS is considered on its own merits. A charging decision is then made in accordance with the Code for Crown Prosecutors.</p>","Byrne, Liam","Labour","Birmingham, Hodge Hill","Wright, Jeremy",2017-10-12,2017-10-18,39,"legal, prime, syria"
"68",68,"107422","To ask the Attorney General, how many times the Government has been ordered to pay damages in accordance with the European Court of Justice ruling in Francovich of 1991; and if he will make a statement.","<p>The Government does not maintain a central record of cases that include a claim for Francovich damages.</p><p> </p><p>There have been at least 5 reported cases in which the Government has been ordered to pay such damages.</p><p> </p><p>The Government has been able to identify at least 16 ongoing cases against it which involve a claim for Francovich damages. The fact that such a claim has been made does not mean that it is well-founded, or that damages will be payable.</p><p> </p>","Blomfield, Paul","Labour","Sheffield Central","Wright, Jeremy",2017-10-12,2017-10-18,40,"warrant, arrest, european"
"69",69,"107423","To ask the Attorney General, whether the Government is involved in cases in which it might be ordered to pay damages in accordance with the European Court of Justice ruling in Francovich of 1991 in the event that it is defeated in such cases.","<p>The Government does not maintain a central record of cases that include a claim for Francovich damages.</p><p> </p><p>There have been at least 5 reported cases in which the Government has been ordered to pay such damages.</p><p> </p><p>The Government has been able to identify at least 16 ongoing cases against it which involve a claim for Francovich damages. The fact that such a claim has been made does not mean that it is well-founded, or that damages will be payable.</p>","Blomfield, Paul","Labour","Sheffield Central","Wright, Jeremy",2017-10-12,2017-10-18,40,"warrant, arrest, european"
"70",70,"107504","To ask the Attorney General, with reference to page 11 of the Crown Prosecution Service's (CPS) 2016-17 annual report, on the appointment of inclusion and community engagement managers, whether the CPS consulted (a) Muslim community based organisations and (b) other groups addressing anti-Muslim prejudice and hate crime.","<p>The CPS regularly consults with Muslim community based organisations to address anti-Muslim prejudice and hate crime. Nationally, the CPS consults with community-based organisations through its Community Accountability Forum, which includes a representative from the All Parliamentary Group on British Muslims. At a local level, Inclusion and Community Engagement Managers also engage with local Muslim community based organisations through Local Scrutiny and Involvement Panels (LSIPs) in each CPS Area.</p><p>The CPS circulated the job advert containing details of the posts of Inclusion and Community Engagement Managers to the Community Accountability Forum, LSIPs and other community contacts, to encourage the widest possible pool of people to apply.</p><p>The CPS is also a member of the cross Government anti-Muslim Hatred Working Group, the cross Government Hate Crime Strategic Group, and the Independent Advisory Group on Hate Crime, all of which include a number of representatives from Muslim organisations that actively tackle anti-Muslim hatred.</p><p> </p><p> </p>","Khan, Afzal","Labour","Manchester, Gorton","Wright, Jeremy",2017-10-12,2017-10-17,13,"crime, hate, economic"
"71",71,"107505","To ask the Attorney General, with reference to page 11 of the Crown Prosecution Service's (CPS) 2016-17 annual report, on hate crime campaigns, what hate crime campaigns (a) have been delivered to date and (b) are to be delivered in future by region and partner organisation.","<p>The CPS is committed to raising awareness of hate crime and increasing the confidence of victims and witnesses when they come to report it. In August 2017, to coincide with the launch of the revised public statements on hate crime, the CPS launched the week-long #HateCrimeMatters campaign with involvement from each CPS Area as well as a wide range of local and national community partner organisations. The social media campaign had over 7,000 contributors and the campaign website has had almost 6,000 views.</p><p>During National Hate Crime Awareness Week (NHCAW), the CPS is standing alongside its community partner organisations and published its Annual Hate Crime report on 17 October. This was accompanied by communications activity including both national and local engagement with the NHCAW campaign.</p>","Khan, Afzal","Labour","Manchester, Gorton","Wright, Jeremy",2017-10-12,2017-10-17,13,"crime, hate, economic"
"72",72,"106636","To ask the Attorney General, how many prosecutions there were for abusive behaviour on social media platforms in each of the last three years; and how many of those prosecutions resulted in a conviction.","<p>The Crown Prosecution Service (CPS) does not maintain a central record of the number of prosecutions or convictions for abusive behaviour on social media platforms. This information could only be obtained by examining CPS case files, which would incur disproportionate cost.</p>","Saville Roberts, Liz","Plaid Cymru","Dwyfor Meirionnydd","Wright, Jeremy",2017-10-09,2017-10-17,41,"budget, media, 2010"
"73",73,"106624","To ask the Attorney General, how many prosecutions for violence in a domestic setting there were in each of the last three years; and how many of those prosecutions resulted in a conviction.","<p>The Crown Prosecution Service (CPS) maintains a central record of the number of defendants flagged as involving domestic abuse that were prosecuted and convicted through its Case Management System.</p><p>The table below shows the volume and proportion of domestic abuse prosecutions and convictions during each of the last three years.</p><table><tbody><tr><td><p> </p></td><td colspan=""2""><p><strong>2014 - 15</strong></p></td><td colspan=""2""><p><strong>2015 - 16</strong></p></td><td colspan=""2""><p><strong>2016 - 17</strong></p></td></tr><tr><td><p> </p></td><td><p><strong>Volume</strong></p></td><td><p><strong>%</strong></p></td><td><p><strong>Volume</strong></p></td><td><p><strong>%</strong></p></td><td><p><strong>Volume</strong></p></td><td><p><strong>%</strong></p></td></tr><tr><td><p>Convictions</p></td><td><p>68,601</p></td><td><p>73.9%</p></td><td><p>75,235</p></td><td><p>74.5%</p></td><td><p>70,853</p></td><td><p>75.7%</p></td></tr><tr><td><p>Unsuccessful</p></td><td><p>24,178</p></td><td><p>26.1%</p></td><td><p>25,695</p></td><td><p>25.5%</p></td><td><p>22,737</p></td><td><p>24.3%</p></td></tr><tr><td><p><strong>Total</strong></p></td><td><p><strong>92,779</strong></p></td><td><p> </p></td><td><p><strong>100,930</strong></p></td><td><p> </p></td><td><p><strong>93,590</strong></p></td><td><p> </p></td></tr><tr><td colspan=""4""><p>Data Source: CPS Case Management Information System</p></td></tr></tbody></table><p> </p>","Saville Roberts, Liz","Plaid Cymru","Dwyfor Meirionnydd","Wright, Jeremy",2017-10-09,2017-10-18,42,"cybercrime, set, fought"
"74",74,"105625","To ask the Attorney General, pursuant to the Answer of 13 September 2017 to Question 8633, how many British citizens have been (a) charged and (b) convicted of acts relating to the conflict in Syria and Daesh activities in that region.","<p>The Crown Prosecution Service does not hold these official figures. The Home Office Statistical Bulletin publishes data about convictions quarterly but does not distinguish those which relate to Syria and Daesh.</p><p>Although official figures do not show how many were Syria or Daesh related, Of the 105 persons charged with a terrorism-related offence in the year ending June 2017, 33 had been prosecuted (as at the time of data provision to the Home Office, 14 July 2017), 32 of which were found guilty. A further 68 were awaiting prosecution.</p>","Byrne, Liam","Labour","Birmingham, Hodge Hill","Wright, Jeremy",2017-10-06,2017-10-17,37,"daesh, conflict, citizens"
"75",75,"105626","To ask the Attorney General, what charges have been brought against British citizens for acts relating to the conflict in Syria and Daesh activities in that region; how many citizens have been charged for each such offence; and what sentences have been handed down by courts from convictions relating to such charges.","<p>The Crown Prosecution Service does not hold these official figures. The Home Office Statistical Bulletin publishes data about convictions quarterly but does not distinguish those which relate to Syria and Daesh. It sets out the principal offences for which terrorists were convicted and the sentences.</p>","Byrne, Liam","Labour","Birmingham, Hodge Hill","Wright, Jeremy",2017-10-06,2017-10-18,37,"daesh, conflict, citizens"
"76",76,"HL1658","To ask Her Majesty's Government how many drivers were prosecuted in (1) 2015, and (2) 2016, for failure to stop after a collision.","<p>The Crown Prosecution Service (CPS) does not maintain a central record of the number of drivers prosecuted for offences of failing to stop at the scene of a road traffic accident.</p><p>The offence of failing to stop at the scene of a road traffic accident is created by Section 170 of the Road Traffic Act 1988 which imposes obligations on drivers of mechanically propelled vehicles who are involved in road accidents.</p><p>Although it is not possible to identify the number of <em>people</em> charged with particular offences, records are held by the CPS showing the overall number of <em>offences</em> in which a prosecution conducted by them commenced in the magistrates’ courts. The table below therefore shows the number of <em>offences</em>, rather than <em>defendants</em>, charged by way of Section 170 of the Road Traffic Act 1988 during 2015 and 2016. It should be noted that a single defendant may be charged with more than one offence.</p><table><tbody><tr><td><p> </p></td><td><p>2015</p></td><td><p>2016</p></td></tr><tr><td><p>Road Traffic Act 1988 and Schedule 2 to the Road Traffic Offenders Act 1988 { 170 }</p></td><td><p>9,825</p></td><td><p>9,056</p></td></tr><tr><td><p>Data Source: CPS Case Management Information System</p></td></tr></tbody></table><p>It should further be noted that failures to stop at the scenes of traffic accidents are specified proceedings. These are offences which the police prosecute in order to reduce unnecessary bureaucracy and ensure swifter justice. The CPS will only prosecute a specified offence in cases where a not guilty plea has been entered. It may also be the case that the CPS will prosecute this offence when the defendant is charged with other more serious associated offences (for example, failing to stop and dangerous driving or driving under the influence of alcohol). The figures in the table above do not include those specified cases prosecuted by the police.</p><p> </p>","Baroness Jones of Moulsecoomb","Not found",NA,"Baroness Vere of Norbiton",2017-10-02,2017-10-16,43,"deferred, agreement, men"
"77",77,"HL1659","To ask Her Majesty's Government how many people were killed or injured as a result of driving offences in (1) 2015, and (2) 2016; what was the victim’s road user mode in each case; and where those statistics are reported.","<p>A number of offences under the Road Traffic Act 1988 involve causing death by driving, or may result in injury.</p><p>While the CPS does not maintain a central record of the number of people killed or injured as a result of driving offences, or the victim’s mode of transport at the time the offence or offences were committed, the table below shows the number of <em>offences</em>, (rather than defendants) charged under the relevant sections of the Road Traffic Act 1988 during 2015 and 2016. It should be noted that a single defendant may be charged with more than one offence.</p><table><tbody><tr><td><p> </p></td><td><p><strong>2015</strong></p></td><td><p><strong>2016</strong></p></td></tr><tr><td><p>Road Traffic Act 1988 and Schedule 2 to the Road Traffic Offenders Act 1988 { 1 } <em>Causing death by dangerous driving</em></p></td><td><p>228</p></td><td><p>347</p></td></tr><tr><td><p>Road Traffic Act 1988 and Schedule 2 to the Road Traffic Offenders Act 1988 { 1A } <em>Causing serious injury by dangerous driving</em></p></td><td><p>392</p></td><td><p>504</p></td></tr><tr><td><p>Road Traffic Act 1988 and Schedule 2 to the Road Traffic Offenders Act 1988 { 2B } <em>Causing death by careless, or inconsiderate, driving</em></p></td><td><p>206</p></td><td><p>275</p></td></tr><tr><td><p>Road Traffic Act 1988 and Schedule 2 to the Road Traffic Offenders Act 1988 { 3A } <em>Causing death by careless driving: drink or drugs</em></p></td><td><p>26</p></td><td><p>45</p></td></tr><tr><td><p>Road Traffic Act 1988 and Schedule 2 to the Road Traffic Offenders Act 1988 { 3ZB } <em>Causing death by driving: unlicensed or uninsured drivers</em></p></td><td><p>67</p></td><td><p>87</p></td></tr><tr><td><p>Road Traffic Act 1988 and Schedule 2 to the Road Traffic Offenders Act 1988 { 3ZC } <em>Causing death by driving: disqualified drivers</em></p></td><td><p>0</p></td><td><p>4</p></td></tr><tr><td><p>Road Traffic Act 1988 and Schedule 2 to the Road Traffic Offenders Act 1988 { 3ZD } <em>Causing serious injury by driving: disqualified drivers</em></p></td><td><p>3</p></td><td><p>8</p></td></tr><tr><td><p>Data Source: CPS Case Management Information System</p></td></tr></tbody></table><p>Other road traffic offences can also involve death or injury which does not form part of the charge.</p><p> </p>","Baroness Jones of Moulsecoomb","Not found",NA,"Baroness Vere of Norbiton",2017-10-02,2017-10-16,44,"discontinuation, drivers, dangerous"
"78",78,"10350","To ask the Attorney General, how many (a) men and (b) women have left the Law Officers' Departments under exit schemes since 31 March 2016.","<p>The information requested is containing in the following tables, broken down into the different Law Officers' Departments.</p><p><strong>SFO</strong></p><table><tbody><tr><td colspan=""3""><p><strong>Individuals leaving the SFO under exit schemes since 31 March 2016</strong></p></td></tr><tr><td><p><strong>Gender</strong></p></td><td><p><strong>Number</strong></p></td><td><p><strong>Total payment</strong></p></td></tr><tr><td><p>Women</p></td><td><p>6</p></td><td><p>£281k</p></td></tr><tr><td><p>Men</p></td><td><p>10</p></td><td><p>£324k</p></td></tr></tbody></table><p> </p><p><strong>Attorney General’s Office (AGO), the Government Legal Department (GLD) and Her Majesty’s Crown Prosecution Service Inspectorate (HMCPSI)</strong></p><table><tbody><tr><td colspan=""3""><p><strong>Individuals leaving the AGO, GLD and HMCPSI under exit schemes since 31 March 2016</strong></p></td></tr><tr><td><p><strong>Gender</strong></p></td><td><p><strong>Number</strong></p></td><td><p><strong>Total payment</strong></p></td></tr><tr><td><p>Women</p></td><td><p>Fewer than 5</p></td><td><p>£172,148</p></td></tr><tr><td><p>Men</p></td><td><p>Fewer than 5</p></td><td><p>£317,933</p></td></tr></tbody></table><p>Since 31 March 2016, there have been 5 or fewer men and 5 or fewer women who have left the Attorney General’s Office (AGO), the Government Legal Department (GLD) and Her Majesty’s Crown Prosecution Service Inspectorate (HMCPSI) under an early exit scheme.</p><p><strong>CPS</strong></p><table><tbody><tr><td colspan=""3""><p><strong>Individuals leaving the CPS under exit schemes since 31 March 2016</strong></p></td></tr><tr><td><p><strong>Gender</strong></p></td><td><p><strong>Number</strong></p></td><td><p><strong>Total payment</strong></p></td></tr><tr><td><p>Women</p></td><td><p>18</p></td><td><p>£1,024,651</p></td></tr><tr><td><p>Men</p></td><td><p>6</p></td><td><p>£500,040</p></td></tr></tbody></table><p> </p>","Trickett, Jon","Labour","Hemsworth","Wright, Jeremy",2017-09-13,2017-10-09,43,"deferred, agreement, men"
"79",79,"10436","To ask the Attorney General, how many of the Law Officers Departments' staff had a pay increase (a) above one per cent, (b) at one per cent and (c) less than one per cent in each of the last three years for which information is available.","<p>The information requested is detailed in the following tables.</p><p> </p><table><tbody><tr><td colspan=""4""><p><strong>Serious Fraud Office: Pay increase</strong><sup>1</sup></p></td></tr><tr><td><p> </p></td><td><p>Above 1%</p></td><td><p>At 1%</p></td><td><p>Less than 1%</p></td></tr><tr><td><p>2014</p></td><td><p>141</p></td><td><p>146</p></td><td><p>48</p></td></tr><tr><td><p>2015</p></td><td><p>291</p></td><td><p>32</p></td><td><p>96</p></td></tr><tr><td><p>2016</p></td><td><p>300</p></td><td><p>36</p></td><td><p>59</p></td></tr></tbody></table><p><em><sup>1</sup></em><em> Based on staff in post as at 31 August in each of the past three years.</em></p><p> </p><table><tbody><tr><td colspan=""4""><p><strong>Attorney General’s Office (AGO)</strong></p></td></tr><tr><td><p> </p></td><td><p>Above 1%</p></td><td><p>At 1%</p></td><td><p>Less than 1%</p></td></tr><tr><td><p>2014</p></td><td><p>2</p></td><td><p>27</p></td><td><p>6</p></td></tr><tr><td><p>2015</p></td><td><p>18</p></td><td><p>2</p></td><td><p>11</p></td></tr><tr><td><p>2016</p></td><td><p>14</p></td><td><p>3</p></td><td><p>14</p></td></tr></tbody></table><p> </p><table><tbody><tr><td colspan=""4""><p><strong>Government Legal Department (GLD)</strong></p></td></tr><tr><td><p> </p></td><td><p>Above 1%</p></td><td><p>At 1%</p></td><td><p>Less than 1%</p></td></tr><tr><td><p>2014</p></td><td><p>65</p></td><td><p>973</p></td><td><p>96</p></td></tr><tr><td><p>2015</p></td><td><p>848</p></td><td><p>46</p></td><td><p>578</p></td></tr><tr><td><p>2016</p></td><td><p>834</p></td><td><p>105</p></td><td><p>1006</p></td></tr></tbody></table><p> </p><table><tbody><tr><td colspan=""4""><p><strong>Her Majesty’s Crown Prosecution Service Inspectorate (HMCPSI)</strong></p></td></tr><tr><td><p> </p></td><td><p>Above 1%</p></td><td><p>At 1%</p></td><td><p>Less than 1%</p></td></tr><tr><td><p>2014</p></td><td><p>0</p></td><td><p>30</p></td><td><p>1</p></td></tr><tr><td><p>2015</p></td><td><p>18</p></td><td><p>2</p></td><td><p>10</p></td></tr><tr><td><p>2016</p></td><td><p>13</p></td><td><p>0</p></td><td><p>15</p></td></tr></tbody></table><p> </p><p> </p><p> </p><p> </p><table><tbody><tr><td colspan=""4""><p><strong>Crown Prosecution Service (CPS) </strong></p></td></tr><tr><td><p>Year</p></td><td><p>More than 1%</p></td><td><p>At 1%</p></td><td><p>Less than 1%</p></td></tr><tr><td><p>2014/15</p></td><td><p>1,038</p></td><td><p>3,743</p></td><td><p>1,881</p></td></tr><tr><td><p>2015/16</p></td><td><p>1,075</p></td><td><p>3,445</p></td><td><p>1,760</p></td></tr><tr><td><p>2016/17</p></td><td><p>675</p></td><td><p>3,058</p></td><td><p>2,182</p></td></tr></tbody></table><p> </p><p>In relation to the CPS:</p><ul><li><p>In each of the three years the average pay awards were limited to up to 1% in line with the government’s framework from which all departments have set their pay arrangements.</p></li></ul><p>In relation to the GLD, AGO and HMCPSI:</p><ul><li><p>The pay award in 2014 provided all staff with a 1% pay award although a number received part of this as a non-consolidated sum because they were on or near their grade maximum and a small number had a retained contractual entitlement to a specific pay award of more than 1% from a previous department.</p></li><li><p>The 2015 and 2016 pay awards provided staff with a cash sum based on 1% of the average salary for their grade. The outcome provided an award of greater than 1% for those who were at the lower end of their pay range and less than 1% for those at the upper end.</p></li><li><p>GLD also took the opportunity in 2016 to review and update the pay structure for Legal Trainees and Legal Officers, resulting in a higher than 1% award in that year as individual’s moved to the new structure (30 people benefitted in this way).</p></li></ul><p>In relation to the SFO:</p><ul><li><p>For the 2014 pay award the SFO paid all eligible staff an award of either £350 or 1%. Ineligible staff were those already earning in excess of their pay-band maximum, those staff who were deemed as not effective and those staff who had joined the SFO after 31 January 2014.</p></li><li><p>In 2015, the SFO sought and obtained Treasury and AGO approval to convert 0.5% of the accrued bonus pot to fund increases to base pay for the more junior digital forensic and investigator roles. This was to help with retention and recruitment of staff in those roles which had been identified as a business need. At the same time the SFO introduced a performance pay matrix which allowed for strong performers near to the bottom of their pay-band to receive a larger increase than those in the middle and top of the band. Eligibility criteria were the same as for 2014 – with the cut-off date for new staff being 31 January 2015.</p></li><li><p>In April 2016 the SFO introduced a new pay model, also approved by Treasury and the Attorney General, which created separate specialist pay-bands for corporate, operational and digital staff to again further improve the recruitment/retention position with key operational roles. This allowed for a further significant base pay increases for staff in digital and investigative roles at all grades. The annual pay award in August 2016 followed the same approach as for 2015.</p></li></ul>","Davies, Philip","Conservative","Shipley","Wright, Jeremy",2017-09-13,2017-10-09,45,"per, spend, overall"
