"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"146",146,"105255","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps the Government is taking to protect critical national infrastructure from distributed denial of service attacks.","<p>The National Cyber Security Centre provides and regularly updates guidance for a range of public and private sector organisations, including in the critical national infrastructure (CNI). The guidance encourages organisations to understand and design their systems to be resilient to a range of common attacks, including Distributed Denial of Service (DDoS) attacks. The NCSC’s Active Cyber Defence programme is a mechanism through which it is working with the Internet Service Provider community in order to make DDoS attacks harder systemically.</p><p><strong> </strong></p><p>The Government is working closely with CNI operators to ensure they are adequately protected from cyber threats, including DDoS attacks. The Department for Digital, Culture, Media and Sport (DCMS) is currently consulting on the proposed implementation of the EU Network and Information Systems (NIS) Directive. This Directive will place a legal obligation on operators of essential services to ensure they have appropriate security measures in place to deal with cyber threats. DCMS is also considering the need for the right incentives to be in place to build security into internet-connected products and services. This will help protect devices from being hijacked or misused as part of a DDoS attack.</p><p> </p>","Onwurah, Chi","Labour","Newcastle upon Tyne Central","Hancock, Matt",2017-09-14,2017-10-11,33,"universal, service, obligation"
"147",147,"105257","To ask the Secretary of State for Digital, Culture, Media and Sport, what recent discussions she has had with the Football Association on catalysing grass roots football.","<p>Sport England is working with the Football Association on a new programme of support for grassroots football. Details of the new funding award for the period 2017-2021 and how this will align with the objectives set out in the government's sport strategy Sporting Future and Sport England's strategy Towards an Active Nation will be announced shortly.</p>","Drew, Dr David","Labour (Co-op)","Stroud","Crouch, Tracey",2017-09-14,2017-10-09,26,"football, association, club"
"148",148,"105388","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will make an assessment of the potential merits of giving additional powers to local authorities to review, amend and revoke betting premises' licences for establishments with fixed-odds betting terminals which those authorities consider to be detrimental to their local communities.","<p>The Government announced a review of gaming machines and social responsibility measures in 2016 to ensure that we have the right balance between a sector that can grow and contribute to the economy, and one that is socially responsible and doing all it can to protect consumers and wider communities. We hope to publish the findings of the review by October at the earliest.</p>","Seely, Bob","Conservative","Isle of Wight","Crouch, Tracey",2017-09-14,2017-10-09,5,"odds, betting, terminals"
"149",149,"105258","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will commission a review of the role, responsibilities and financial compliance of football agents.","<p>The Football Association has responsibility for the regulation of intermediaries in the game. Their role includes proper investigation of any evidence of inappropriate behaviour. The integrity of sport is absolutely paramount, and the UK Sports Governance code, which the FA has signed up to, sets out clearly what we expect in terms of the highest standards of governance and transparency from all our sports governing bodies.</p>","Drew, Dr David","Labour (Co-op)","Stroud","Crouch, Tracey",2017-09-14,2017-10-09,45,"review, responsibilities, progress"
"150",150,"105382","To ask the Secretary of State for Digital, Culture, Media and Sport, what recent discussions she has had on measures to deal with catfishing in the Internet Safety Strategy.","<p>Catfishing is one of the online harms which we are considering as part of our Internet Safety Strategy. The Strategy is due to be published shortly and we will consider ways in which we can ensure Britain is the safest place in the world to be online.</p>","Coffey, Ann","Labour","Stockport","Hancock, Matt",2017-09-14,2017-10-10,61,"internet, safety, strategy"
"151",151,"10341","To ask the Secretary of State for Digital, Culture, Media and Sport, how many (a) men and (b) women have left her Department under exit schemes since 31 March 2016.","<p>Since 31 March 2016, the number of men and women who have left the Department under exit schemes is:</p><p><strong> </strong></p><ol><li><p>Men: 2</p></li><li><p>Women: 4</p></li></ol><p> </p>","Trickett, Jon","Labour","Hemsworth","Hancock, Matt",2017-09-13,2017-10-09,21,"men, women, exit"
"152",152,"10354","To ask the Secretary of State for Digital, Culture, Media and Sport, how many households were demonstrated to own a television set but did not have a television license in each of the last three years.","<p>The Government does not hold this information. The BBC, under its trademark 'TV Licensing', carries out the administration and enforcement of the television licence system.</p>","Campbell, Gregory","Democratic Unionist Party","East Londonderry","Hancock, Matt",2017-09-13,2017-10-09,62,"demonstrated, households, bleaching"
"153",153,"10446","To ask the Secretary of State for Digital, Culture, Media and Sport, how many civil servants in her Department are part of the Government Commercial Function; and how many of those civil servants have been seconded(a) outside the Government and (b) in from outside the Government in each year since 2012.","<p>DCMS participates in the Government Commercial Organisation (GCO) scheme, which is part of Cabinet Office.</p><p> </p><p>In the Department for Digital, Culture, Media and Sport (DCMS), one civil servant is currently part of the Government Commercial Organisation. The individual has not been seconded outside Government, as part of GCO, in any year since 2012 and was not seconded in.</p>","Trickett, Jon","Labour","Hemsworth","Hancock, Matt",2017-09-13,2017-10-13,63,"civil, servants, seconded"
"154",154,"10424","To ask the Secretary of State for Digital, Culture, Media and Sport, how many civil servants of her Department are part of the Government Commercial Function; and how many of those civil servants have been (a) seconded outside of government and (b) seconded in from outside of government since her Department was established.","<p>DCMS participates in the Government Commercial Organisation (GCO) scheme, which is part of Cabinet Office.</p><p> </p><p>In the Department for Digital, Culture, Media and Sport (DCMS), one civil servant is part of the Government Commercial Organisation. The individual has not been seconded outside Government, as part of GCO, and was not seconded in.</p>","Trickett, Jon","Labour","Hemsworth","Hancock, Matt",2017-09-13,2017-10-16,63,"civil, servants, seconded"
"155",155,"10423","To ask the Secretary of State for Digital, Culture, Media and Sport, how many households received broadband speeds of less than 5mb in each constituency in each of the last two years.","<p>The Department does not have data on premises that receive speeds of less than 5Mbps. The Department has deposited in the House of Commons Library results of its modelling and analysis of broadband coverage by constituency, including figures for sub 2 and sub 10 Mbps premises. Similar information, by constituency, is also available from Think Broadband (http://labs.thinkbroadband.com/local/).</p>","Ruane, Chris","Labour","Vale of Clwyd","Hancock, Matt",2017-09-13,2017-10-09,14,"broadband, superfast, fibre"
"156",156,"10477","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will make an assessment of the potential merits of introducing a statutory levy on bookmakers to fund the work of GambleAware.","<p>As I made clear at Departmental Oral Questions on 18 September, I am determined that the gambling industry acknowledges its social responsibilities, including properly funding the work undertaken by GambleAware, and other organisations, on research, education and treatment for gambling-related harm.</p><p> </p><p>The industry currently contributes over £8 million per year to GambleAware. GambleAware is seeking to increase this to £10 million per year in line with work that has been done by the Responsible Gambling Strategy Board (RGSB) to cost the short term work of delivering the National Responsible Gambling Strategy.</p><p>The industry must step up and fulfill their obligations under these new targets.</p>","Cowan, Ronnie","Scottish National Party","Inverclyde","Crouch, Tracey",2017-09-13,2017-10-09,52,"bookmakers, betfred, levy"
"157",157,"105035","To ask the Secretary of State for Digital, Culture, Media and Sport, pursuant to the Answer of 12 September 2017 to Question 7318, if she will make it her policy to include more women's sports events, including domestic football, cricket and rugby matches on the designated list of events to be kept free to air on terrestrial television.","<p>There are currently no plans to review Listed Events. My department is keen to raise the profile of women's sport in the media and encourage more commercial investment into women's sport. Since the Olympics in 2012, there has been a notable increase in the coverage of women's sport on terrestrial television, including the 2017 UEFA Women's European Championships and the 2017 Women's Rugby World Cup. Furthermore, the 2019 FIFA Women's World Cup will also be on free to air television.</p>","Morris, Grahame","Labour","Easington","Hancock, Matt",2017-09-13,2017-10-09,64,"list, events, review"
"158",158,"10492","To ask the Secretary of State for Digital, Culture, Media and Sport, how many civil servants in her Department made use of a cycle-to-work scheme in each of the last five years.","<p>The table below shows the number of civil servants in the Department for Digital, Culture, Media and Sport who have used the cycle-to-work scheme in each year since 1st April 2012.</p><p> </p><table><tbody><tr><td><p>Number of Civil Servants that made use of the Cycle to Work Scheme</p></td></tr><tr><td><p>1st April 2012 - 31st March 2013</p></td><td><p>2</p></td></tr><tr><td><p>1st April 2013 - 31st March 2014</p></td><td><p>1</p></td></tr><tr><td><p>1st April 2014 - 31st March 2015</p></td><td><p>5</p></td></tr><tr><td><p>1st April 2015 - 31st March 2016</p></td><td><p>8</p></td></tr><tr><td><p>1st April 2016 - to date</p></td><td><p>12</p></td></tr><tr><td><p>Total</p></td><td><p>28</p></td></tr></tbody></table><p><br></p><p><strong> </strong></p>","Cunningham, Jim","Labour","Coventry South","Hancock, Matt",2017-09-13,2017-10-09,63,"civil, servants, seconded"
"159",159,"HL1529","To ask Her Majesty's Government when they expect to publish their response to the consultation on Commercial Radio Deregulation.","<p>The commercial radio deregulation consultation closed on 8 May 2017. We intend to publish the government response in due course.</p><p> </p><p> </p>","Baroness Bonham-Carter of Yarnbury","Not found",NA,"Lord Ashton of Hyde",2017-09-12,2017-09-19,25,"radio, deregulate, commercial"
"160",160,"HL1530","To ask Her Majesty's Government whether they intend to deregulate aspects of commercial radio, as identified in their consultation on Commercial Radio Deregulation.","<p>The commercial radio deregulation consultation closed on 8 May 2017. We intend to publish the government response in due course.</p><p> </p><p> </p>","Baroness Bonham-Carter of Yarnbury","Not found",NA,"Lord Ashton of Hyde",2017-09-12,2017-09-19,25,"radio, deregulate, commercial"
"161",161,"10272","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps her Department is taking to ensure that online travel agents do not charge commission on the full VAT inclusive bill for bookings taken online.","<p>DCMS is not taking any steps to ensure that online travel agents do not charge commission on the full VAT inclusive bill for bookings taken online.</p>","Double, Steve","Conservative","St Austell and Newquay","Glen, John",2017-09-12,2017-09-20,65,"full, charge, young"
"162",162,"10273","To ask the Secretary of State for Digital, Culture, Media and Sport, what assessment her Department has made of the effect of online travel agents charging commission on the full VAT inclusive bill for bookings taken online on hospitality SMEs in rural and deprived areas.","<p>DCMS has not conducted an assessment of the effect of online travel agents charging commission on the full VAT inclusive bill for bookings taken online on hospitality SMEs in rural and deprived areas.</p>","Double, Steve","Conservative","St Austell and Newquay","Glen, John",2017-09-12,2017-09-20,65,"full, charge, young"
"163",163,"10178","To ask the Secretary of State for Digital, Culture, Media and Sport, whether she plans to extend the testing of full-fibre broadband to (a)  Ceredigion and (b) Wales.","<p>The Local Full Fibre Networks programme Challenge Fund, which all local bodies across the UK will be able to apply for, will open this Autumn.</p>","Lake, Ben","Plaid Cymru","Ceredigion","Hancock, Matt",2017-09-12,2017-09-19,14,"broadband, superfast, fibre"
"164",164,"10180","To ask the Secretary of State for Digital, Culture, Media and Sport, for what reasons the six areas in England and Scotland were selected by the Government to test full-fibre broadband.","<p>The criteria used to identify Wave 1 locations include the learning opportunity, likely success in stimulating investment, project deliverability and suitability, all as assessed from information gathered in our January 2017 Call for Evidence and subsequent engagement through 2017.</p>","Lake, Ben","Plaid Cymru","Ceredigion","Hancock, Matt",2017-09-12,2017-09-19,14,"broadband, superfast, fibre"
"165",165,"10270","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps the Government is taking to uphold its commitment in paragraph 19 of the final communiqué of the 9th Commonwealth Youth Ministers meeting on promoting youth work as a profession through education and training for sectors where youth engagement is important.","<p>The Department for Digital, Culture, Media and Sport conducted a series of regional workshops in March and April with youth sector organisations, local authorities, and other local agencies, including Police and Crime Commissioners and Clinical Commissioning Groups to gather views about the opportunities and challenges facing the youth sector.</p><p> </p><p>The evidence gathered at the regional workshops is being considered and used by the Office for Civil Society across its youth policy work and we continue to engage regularly with youth sector leaders.</p><p> </p>","Smith, Cat","Labour","Lancaster and Fleetwood","Crouch, Tracey",2017-09-12,2017-09-19,23,"youth, communiqu, uphold"
"166",166,"10170","To ask the Secretary of State for Digital, Culture, Media and Sport, what rights next of kin have to access data that belonged to deceased relatives.","<p>The process on granting a next of kin access to any data on the deceased, held by public authorities is outlined in the Freedom of Information Act 2000 (FOIA) and the Environmental Information Regulations (EIR) 2004.</p>","Onwurah, Chi","Labour","Newcastle upon Tyne Central","Hancock, Matt",2017-09-12,2017-10-09,49,"data, 24, paper"
"167",167,"10137","To ask the Secretary of State for Digital, Culture, Media and Sport, what assessment her Department has made of the potential effect on businesses of no data adequacy agreement being in place when the UK leaves the EU; and if she will make a statement.","<p>I refer the Hon. member to my response to PQ 8887 answered on 11 September.</p>","Cunningham, Jim","Labour","Coventry South","Hancock, Matt",2017-09-12,2017-10-09,27,"adequacy, agreement, will"
"168",168,"10163","To ask the Secretary of State for Digital, Culture, Media and Sport, what rights relatives have to access data that belongs to vulnerable adults.","<p>Individuals' rights in regards to the processing of personal data is governed by the Data Protection Act (DPA) which is regulated by the Information Commissioner. The DPA recognises that in certain circumstances a third person may need to act on behalf of a friend or relative, in such circumstances the DPA will not prevent someone from accessing and updating information about another person, as long as they have permission to do so.</p><p>The Information Commissioner's Office (ICO) has published advice on its website on the rights of individuals who are acting on behalf of a vulnerable person or relative.</p><p>This information can be found at:</p><p>https://iconewsblog.org.uk/2015/02/11/how-data-protection-helps-supporting-someone-with-dementia/</p>","Onwurah, Chi","Labour","Newcastle upon Tyne Central","Hancock, Matt",2017-09-12,2017-10-09,49,"data, 24, paper"
"169",169,"10116","To ask the Secretary of State for Digital, Culture, Media and Sport, pursuant to the Answer of 11 September 2017 to Question 8813, on telecommunications: misrepresentation, whether informed consent applies for the duration of the contract; and how informed consent applies to people who may become classified as vulnerable during the contract period.","<p>Ofcom currently has rules in place which ensure that where communication providers make modifications to contractual terms which are likely to be of material detriment to a subscriber, they notify the subscriber of the modification and their ability to terminate the contract without penalty if the proposed modification is not acceptable.</p><p>In terms of identifying whether a customer is vulnerable, the communications provider would need to be made aware of the change in the consumer's circumstances either by the customer or a third party if they were authorised to act on their behalf.</p><p>Ofcom has now proposed, as part of its review of General Conditions of Entitlement, that all communications providers must comply with the introduction of a new condition on vulnerability which would require communication providers to take reasonable steps to identify vulnerable customers.</p>","Onwurah, Chi","Labour","Newcastle upon Tyne Central","Hancock, Matt",2017-09-12,2017-10-09,1,"2017, report, publish"
"170",170,"10046","To ask the Secretary of State for Digital, Culture, Media and Sport, how much has been paid to (a) men and (b) women who left her Department under exit schemes since 31 March 2016.","<p>Details of the number, type, compensation levels and cost of exits from DCMS are routinely published in the Department’s Annual Report and Accounts, which can be found here: https://www.gov.uk/government/publications/dcms-annual-report-and-accounts-2016-17</p><p> </p><p>The information in the Department’s Annual Report and Accounts includes the Core Department and Agencies.</p><p> </p>","Trickett, Jon","Labour","Hemsworth","Hancock, Matt",2017-09-12,2017-09-19,21,"men, women, exit"
"171",171,"10057","To ask the Secretary of State for Digital, Culture, Media and Sport, what discussions she has had with the BBC on its publishing declarations of interests made by presenters and other employees.","<p>The Secretary of State has not had any discussions with the BBC on publishing declarations of personal interests made by presenters or other employees. This is an operational matter for the BBC.</p>","Campbell, Gregory","Democratic Unionist Party","East Londonderry","Hancock, Matt",2017-09-12,2017-10-09,56,"bbc, pay, gap"
"172",172,"10308","To ask the Secretary of State for Digital, Culture, Media and Sport, how many of her Department's staff had a pay increase (a) above, (b) at and (c) less than one per cent in each of the last three years for which information is available.","<p>Departmental pay awards have been applied in accordance with HMT pay guidance.</p><p>For recent pay awards, the department has paid 1% of the grade median instead of 1% of the actual salary, to ensure employees near the bottom of a pay range receive a proportionately higher award than those near the top.</p><p> </p><p>The table below illustrates the number of payroll employees with pay increases as set out in the question.</p><p> </p><table><tbody><tr><td><p>1st June 2015 to 1st June 2016</p></td><td><p>1st June 2016 to 1st June 2017</p></td></tr><tr><td><p>Above 1%</p></td><td><p>55</p></td><td><p>75</p></td></tr><tr><td><p>At 1%</p></td><td><p>126</p></td><td><p>101</p></td></tr><tr><td><p>Under 1%</p></td><td><p>116</p></td><td><p>150</p></td></tr></tbody></table><p> </p>","Davies, Philip","Conservative","Shipley","Hancock, Matt",2017-09-12,2017-09-19,29,"year, five, 2010"
"173",173,"HL1496","To ask Her Majesty's Government whether they intend to take steps to ensure licence payers are able to access BBC iPlayer when outside the UK; and if so, when.","<p>The Government's BBC White Paper published in May 2016, 'A BBC for the Future', made clear that the Government agrees that BBC content should be portable following the closure of the iPlayer loophole.</p><p> </p><p>The BBC is an independent body governed by the Royal Charter. Under the terms of the Charter, the BBC is operationally and editorially independent of Government and there is no provision for the Government to intervene in the Corporation's day-to-day operations. Therefore it will ultimately be up to the BBC to determine whether or not their content will be available abroad.</p>","Lord Chadlington","Not found",NA,"Lord Ashton of Hyde",2017-09-11,2017-09-19,56,"bbc, pay, gap"
"174",174,"9896","To ask the Secretary of State for Digital, Culture, Media and Sport, what plans her Department has to bring forward proposals for regulatory reform of the Society Lottery sector.","<p>The Government’s response to the CMS Select Committee’s report on society lotteries advised that it intended to explore all the recommendations further, with advice from the Gambling Commission. We are carefully considering the issues raised by the Select Committee and continue to take advice from the Gambling Commission as we consider policy options.</p><p> </p><p>We expect that the Gambling Commission will publish their advice in due course, when Government has made an announcement on its conclusions.</p><p> </p><p>The Gambling Commission are currently consulting on on increasing provisions around transparency for society lotteries. The consultation closes on 30 September 2017 and can be found here:</p><p>http://www.gamblingcommission.gov.uk/news-action-and-statistics/Consultations/Open-consultations/Have-your-say-on-changes-to-society-lottery-codes-of-practice.aspx</p><p> </p>","Milling, Amanda","Conservative","Cannock Chase","Crouch, Tracey",2017-09-11,2017-09-19,6,"societies, reform, lotteries"
"175",175,"9816","To ask the Secretary of State for Digital, Culture, Media and Sport, what estimate her Department has made of the number of public (a) indoor and (b) outdoor swimming pools that have closed in each of the last five years.","<p>Information on the number of publicly owned indoor and outdoor swimming pools that have closed and opened in each of the last 5 years is available via Sport England’s Active Places Power database which can be accessed here: <a href=""https://www.activeplacespower.com/"" target=""_blank"">https://www.activeplacespower.com/</a></p><p> </p><p>Between 2017 and 2021 Sport England is investing £12.16 million in Swim England to get more people swimming, and £25 million through its Strategic Facilities Fund to construct 21 new state of the art leisure facilities which include swimming pools. We are also setting up an implementation group to explore the recommendations from the school swimming report, including how we can work with local authorities and private operators to make better use of facilities.</p><p> </p>","West, Catherine","Labour","Hornsey and Wood Green","Crouch, Tracey",2017-09-11,2017-09-19,66,"swimming, outdoor, pools"
"176",176,"9865","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps the Government is taking to uphold the commitment it made at the 9th Commonwealth Youth Ministers Meeting outline in point 7 of the Final Communiqué to lead collaboration on improving young people's meaningful participation in national decision-making institutions and processes.","<p>Government provides a grant to the British Youth Council to deliver a youth voice programme, which gives young people platforms to make their voices heard on local and national issues that are important to them. This includes the UK Youth Parliament and the Make Your Mark ballot and the Youth Select Committee.</p><p> </p><p>The National Citizen Service (NCS) Trust estimate that participants in the programme have given around 10 million volunteering hours. The Government also supports Step Up to Serve's #iwill campaign, which aims for 60% of young people to be involved in giving back to their communities through social action by 2020.</p>","Smith, Cat","Labour","Lancaster and Fleetwood","Crouch, Tracey",2017-09-11,2017-09-19,23,"youth, communiqu, uphold"
"177",177,"9819","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps her Department is taking to promote the restoration of (a) indoor swimming pools and (b) outdoor lidos.","<p>Sport England is the body responsible for making investment decisions on grassroots sports facilities in England and, through its Strategic Facilities Fund, provides capital investment into a range of sport facilities.</p><p> </p><p>From 2011 to 2016 Sport England’s Improvement and Strategic Facilities Funds invested £73m in projects across England, incorporating 91 swimming facilities. Of these 91 facilities, 2 were outdoor lidos with the rest indoor pools. Sport England is currently investing £25m from the Strategic Facilities Fund to construct 21 new leisure facilities which include swimming pools. Sport England's Community Asset Fund – which provides grants that can also be used for facilities improvement – has made £400,000 worth of investment in 5 swimming pool projects since it was launched in February 2017.</p><p> </p>","West, Catherine","Labour","Hornsey and Wood Green","Crouch, Tracey",2017-09-11,2017-09-19,66,"swimming, outdoor, pools"
"178",178,"9820","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps her Department is taking to promote the uptake of outdoor swimming.","<p>The Government is committed to supporting people to engage with sport and physical activity in whichever ways best suit their needs, lifestyles and habits.</p><p> </p><p>Between 2017 and 2021 Sport England is investing £12.16 million in Swim England which is responsible for promoting all types of swimming, including outdoor swimming, to both regular swimmers and those who are new to swimming. Government will also work with the sector to explore the recommendations of the recent school swimming report, which notes the importance of swimming and water safety for children.</p><p> </p>","West, Catherine","Labour","Hornsey and Wood Green","Crouch, Tracey",2017-09-11,2017-09-19,66,"swimming, outdoor, pools"
"179",179,"9818","To ask the Secretary of State for Digital, Culture, Media and Sport, what discussions she or officials in her Department have had with (a) the Mayor of London, (b) local authorities, (c) charities and non-governmental organisations and (d) companies on the construction of a Thames river public swimming bath.","<p>I have not had any conversations about the construction of a Thames river public swimming bath to date. I understand that Sport England are aware of the project, however they have not had any direct involvement.</p><p><strong> </strong></p><p>I am keen to support initiatives that aim to get more people engaging in sport and physical activity and I would welcome the opportunity to talk to colleagues about this particular proposal.</p><p> </p>","West, Catherine","Labour","Hornsey and Wood Green","Crouch, Tracey",2017-09-11,2017-09-19,67,"bath, thames, initiative"
"180",180,"9833","To ask the Secretary of State for Digital, Culture, Media and Sport, pursuant to the Answer of 5 September 2017 to Question 5938, on occupational pensions: British Telecom, whether in the event of BT entering insolvent winding up, 100 per cent of BT Pension Scheme claimants' pension payments will be paid under the Crown Guarantee.","<p>I refer the Hon Member to my answer to PQ 5938.</p>","Kyle, Peter","Labour","Hove","Hancock, Matt",2017-09-11,2017-09-14,28,"bt, openreach, laid"
"181",181,"9884","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps the Government is taking to uphold the commitment it made at the 9th Commonwealth Youth Ministers meeting in point 14 of the Final Communiqué to ensure the creation of an enabling environment for youth-friendly innovative financial instruments.","<p>This Government has pioneered the use of innovative financial instruments to both tackle social challenges and open up new opportunities for young people. Big Society Capital and Access Foundation continue to support the development and growth of mission led businesses across the country whilst the £80m Life Chances Fund is catalysing the use of locally commissioned social impact bonds to support some of the most vulnerable people in society, including disadvantaged young people.</p>","Smith, Cat","Labour","Lancaster and Fleetwood","Crouch, Tracey",2017-09-11,2017-09-19,23,"youth, communiqu, uphold"
"182",182,"9908","To ask the Secretary of State for Digital, Culture, Media and Sport, when she plans to publish the response to the Commercial Radio Deregulation consultation.","<p>We intend to publish the government response in due course.</p><p> </p>","Jardine, Christine","Liberal Democrat","Edinburgh West","Hancock, Matt",2017-09-11,2017-09-19,25,"radio, deregulate, commercial"
"183",183,"9915","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps her Department is taking to ensure that proactive and independent scientific advice informs its activities.","<p>Policy is based on accurate and objective facts.</p><p>We ensure scientific advice is available for example by engaging working groups with relevant industry and academic experts; commissioning research and making use of the departments own independent Science Advisory Council.</p>","Onwurah, Chi","Labour","Newcastle upon Tyne Central","Hancock, Matt",2017-09-11,2017-09-19,60,"scientific, chief, appoint"
"184",184,"9897","To ask the Secretary of State for Digital, Culture, Media and Sport, when she plans to publish the proposals from the Gambling Commission for the reform of the Society Lottery sector.","<p>The Government’s response to the CMS Select Committee’s report on society lotteries advised that it intended to explore all the recommendations further, with advice from the Gambling Commission. We are carefully considering the issues raised by the Select Committee and continue to take advice from the Gambling Commission as we consider policy options.</p><p> </p><p>We expect that the Gambling Commission will publish their advice in due course, when Government has made an announcement on its conclusions.</p><p> </p><p>The Gambling Commission are currently consulting on on increasing provisions around transparency for society lotteries. The consultation closes on 30 September 2017 and can be found here:</p><p>http://www.gamblingcommission.gov.uk/news-action-and-statistics/Consultations/Open-consultations/Have-your-say-on-changes-to-society-lottery-codes-of-practice.aspx</p><p> </p>","Milling, Amanda","Conservative","Cannock Chase","Crouch, Tracey",2017-09-11,2017-09-19,6,"societies, reform, lotteries"
"185",185,"9883","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps the Government is taking to uphold the commitment it made at the 9th Commonwealth Youth Ministers meeting in point 15 of the Final Communiqué to develop policies and strategies to promote youth and social entrepreneurship and financial inclusion.","<p>Charities and social enterprises play an important role in the government’s mission of building an economy that works for everyone. The government is committed to continuing to support the development of social enterprises, including those run by young entrepreneurs, by supporting social enterprise awareness campaigns, championing procurement for social value, building a robust and sustainable social investment market and expanding the social investment tax relief.</p><p> </p><p> </p>","Smith, Cat","Labour","Lancaster and Fleetwood","Crouch, Tracey",2017-09-11,2017-09-19,23,"youth, communiqu, uphold"
"186",186,"9919","To ask the Secretary of State for Digital, Culture, Media and Sport, what assessment she has made of the potential effect of videos demonstrating skin bleaching on young people; and if she will conduct an assessment of the potential merits of regulating such videos.","<p>We have made no assessment of the potential effect of videos demonstrating skin bleaching on young people, and currently have no plans to do so.</p>","Onwurah, Chi","Labour","Newcastle upon Tyne Central","Hancock, Matt",2017-09-11,2017-09-19,62,"demonstrated, households, bleaching"
"187",187,"9926","To ask the Secretary of State for Digital, Culture, Media and Sport, how many properties in Dumfries and Galloway constituency have a broadband service of less than 10mbps.","<p>Departmental modelling suggests that approximately 9,400 premises (just under 18%) in the constituency of Dumfries and Galloway have a broadband speed of less than 10Mbps.</p>","Jack, Alister","Conservative","Dumfries and Galloway","Hancock, Matt",2017-09-11,2017-09-19,14,"broadband, superfast, fibre"
"188",188,"9927","To ask the Secretary of State for Digital, Culture, Media and Sport, what plans are in place to improve access to broadband services in Dumfries and Galloway constituency.","<p>The current Phase 1 superfast broadband project covering the 'Rest of Scotland' (excluding the Highlands &amp; Islands) had provided superfast broadband coverage to 500,000 premises by the end of June 2017 and this is scheduled to increase to 572,000 by the end of the contract in December 2018. Superfast coverage for Dumfries and Galloway is expected to reach approximately 82% of premises as a result. Further superfast broadband delivery in Dumfries and Galloway is dependent on the Scottish Government procuring a second broadband contract. The government allocated £20.99 million to support a second contract in February 2014, but the Scottish Government has yet to begin a procurement, and will be the last area in the UK to do so.</p><p> </p><p>For premises not covered by superfast broadband, the UK government will ensure universal broadband coverage of at least 10Mbps.</p>","Jack, Alister","Conservative","Dumfries and Galloway","Hancock, Matt",2017-09-11,2017-09-19,14,"broadband, superfast, fibre"
"189",189,"9885","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps the Government is taking to uphold the commitment it made at the 9th Commonwealth Youth Ministers Meeting outlined in point 13 of the Final Communiqué to encourage the private sector to align its business goals with national development objectives and the youth development agenda.","<p>This week the Secretary of State for Digital, Culture, Media and Sport chaired the first meeting of the Inclusive Economy Partnership. This is a new initiative that brings together businesses, civil society and Government to address societal challenges including tackling youth unemployment.</p><p> </p><p>Key Government youth programmes are also directly supported by the private sector: for example, National Citizen Service is supported by a range of business partners including EDF, Asos and Santander.</p>","Smith, Cat","Labour","Lancaster and Fleetwood","Crouch, Tracey",2017-09-11,2017-09-19,23,"youth, communiqu, uphold"
"190",190,"9928","To ask the Secretary of State for Digital, Culture, Media and Sport, how many residential properties have access to superfast broadband services in Dumfries and Galloway constituency.","<p>There is an estimated 41,400 premises that have access to superfast broadband services in the constituency of Dumfries and Galloway, representing approximately 80% of the premises in the constituency. We do not have a breakdown between commercial and residential. Approximately 94% of UK premises have superfast broadband thanks to the subsidised programme, funded by UK taxpayers</p>","Jack, Alister","Conservative","Dumfries and Galloway","Hancock, Matt",2017-09-11,2017-09-19,14,"broadband, superfast, fibre"
"191",191,"9888","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps the Government is taking to uphold the commitment it made at the 9th Commonwealth Youth Ministers Meeting outlined in point 11 of the Final Communiqué to (a) mainstream youth priorities across all stages of policy-making and public spending, (b) ensure that youth priorities are integrated with national development and sustainable financing strategies and (c) adopt youth-sensitive budgeting, progressive taxation and youth-friendly public procurement policies.","<p>This Government is committed to investing in young people and young people’s wide-ranging priorities are addressed across Departments. In the Department for Digital, Culture, Media and Sport we have allocated over £1billion over this Spending Review period to expand National Citizen Service and earlier this month I announced a further £40m Youth Investment Fund.</p><p> </p>","Smith, Cat","Labour","Lancaster and Fleetwood","Crouch, Tracey",2017-09-11,2017-09-19,23,"youth, communiqu, uphold"
"192",192,"9929","To ask the Secretary of State for Digital, Culture, Media and Sport, how many commercial properties have access to superfast broadband services in Dumfries and Galloway constituency.","<p>There is an estimated 41,400 premises that have access to superfast broadband services in the constituency of Dumfries and Galloway, representing approximately 80% of the premises in the constituency. We do not have a breakdown between commercial and residential. Approximately 94% of UK premises have superfast broadband thanks to the subsidised programme, funded by UK taxpayers</p>","Jack, Alister","Conservative","Dumfries and Galloway","Hancock, Matt",2017-09-11,2017-09-19,14,"broadband, superfast, fibre"
